Y,X1,X2,X3,X4
72812.55,17884.66,662.58,8538.47,2793.76
67809.85,17106.36,413.25,7638.45,2613.18
62474.79,16278.07,529.39,6489.59,2444.7
57067.92,15610.67,364.94,5352.79,2229.27
53210.28,13906.19,275.06,4809.91,2042.16
46013.06,12382.61,235.89,3659.69,1760.18
39482.56,10028.13,170.98,2961.32,1551.03
39796.71,9174.98,201.63,2949.25,1481.69
31777.01,8706,132.84,2517.23,1328.7
26587.76,7532.79,107.03,1843.51,1235.4
22557.37,6388.05,112.47,1591.9,1109.18
18864.62,5378.21,57.27,1355.84,959.97
15844.64,4266.93,80.57,1233.52,851.72
13502.42,5091,68.45,1115.25,841.77
12039.25,4483.51,53.97,972.34,817.95
10741.25,4112.21,48.21,856.61,807.94
9250.68,3272,34.45,710.2,859.66
8530.88,2942,24.81,602.72,861.97
7774.53,2801,19.6,528.31,851.35
6834.97,2638,13.11,528.85,825.6
5933.05,2392.68,12.6,563.89,777.72
4619.02,2013,9.59,404.13,628.17
3469.28,1950,18.08,316.53,486.46
2447.54,1984,6.39,125.57,428.99
1893.3,1560,3.21,49.75,388.9
1559.03,713,2.03,32.7,359.39
1381.39,900,1.4,48.15,323.15
1155.37,1110,1.97,21.96,277.38
846.69,990,0.82,16.29,214.47
