,a_modes_t,b_p_values,c_F_statist
0,model0-model1,0.7942809515014015,0.2748176884437078
1,model0-model3,0.5507232638699436,-0.6613634088396348
2,model0-model5,0.5421241750937499,-0.6776779856051389
3,model0-modelorinagnal,0.6600399304336251,-0.47322979740521076
4,model0-model4,0.5418169802790863,-0.6782431132900157
5,model0-model2,0.6110078979424873,-0.5540195906345798
6,model1-model3,0.5030163983429422,-0.754327274357178
7,model1-model5,0.49839049054895457,-0.7638239104913797
8,model1-modelorinagnal,0.5643956142505689,-0.6358752891182119
9,model1-model4,0.4981544621676924,-0.7642886775400086
10,model1-model2,0.5378989096245931,-0.6858190845027813
11,model3-model5,0.9655675357292215,-0.04500970664361043
12,model3-modelorinagnal,0.7516258139183741,0.3353065965651584
13,model3-model4,0.964837372610221,-0.04596526007034695
14,model3-model2,0.837396813274045,0.21531747168626839
15,model5-modelorinagnal,0.7268187083186188,0.37154333986063276
16,model5-model4,0.9992728983847575,-0.0009498817913510192
17,model5-model2,0.8075551129819228,0.2562872229143682
18,modelorinagnal-model4,0.7262376590770627,-0.37239425533179765
19,modelorinagnal-model2,0.8981189477837903,-0.13381487119189883
20,model4-model2,0.8068927170432124,0.2572013461992571
